CMO_NUMSTATES	CMO_SIZE	LEVEL	LOCALE15	PVI2017	PVI2014	RLAPROF_1516	MTHPROF_1516	ess_strength	prog_strength	SD_lv_PVI_2014	SD_lv_PVI_2017	POP_DENSE_SD	PCT_AGE65_SD	PCT_WHITE_SD	PCT_HSONLY_SD	PCT_BA_SD	PCT_UNEMPLOYED_SD	MEDIAN_INCOME	PER_CAPITA_INCOME	Gini Index	PCT_POVERTY_SD	PCT_CHILDPOV_SD	PCT_FROMABROAD_SD	PCT_FOREIGN_SD	PCT_NONCITIZEN_SD	PCT_NOINSURANCE_SD	close_rate15	close_rate16	MEMBER	TITLEI	FTE	YEAR_CLOSED	PCTETH	AGE	PCTFRL	PLACE	PROG_COUNT	RIT_COUNT	ESS_COUNT	ESS_STR	PROG_STR	RIT_STR	NUMWORDS	PROG_NORM	ESS_NORM	RIT_NORM	PCT_CHILDPOV_SAIPE16	high_ess	high_prog	high_both	low_both
		1	City (large)	-20.0	-16.0	39.0	29.0	0.22083333333333333	0.15833333333333333	-31.41732283464567	-34.645669291338585	7366.9119999999975	12.17	38.2	15.82	22.32	9.3	57769.0	34982.0	0.5155	16.07	28.73	0.89	27.25	14.83	12.31	0.0	0.007692307692307694	150.0	Yes	7.0		0.9285714285714286	12.0	1.3125	City	0	26	17	-2.1348518272597135	-6.0	-1.9501400836567593	2319	0.0	0.8491592240411465	0.8286504743162445	0.22040893535794742	1	0	0	0
		N	City (large)	-27.0	-24.0					0.16666666666666666	-2.0																0.16666666666666666	1.0	93.0	Yes	3.0	2015.0		7.0		City	0	16	11	-1.7606965727235075	-6.0	-1.6020599913279623	640	0.0	0.9313597947343082	0.8998718843320109		1	0	0	0
		N	City (large)	-38.0	-36.0			0.6842105263157895	0.03947368421052632	-27.174789915966386	-29.12605042016807	11938.74	11.24	48.68	22.95	21.79	10.94	50434.0	30846.0	0.5268	17.63	32.08	0.82	20.86	11.89	14.7	0.013445378151260505	0.00847457627118644	165.0	Yes	7.0	2015.0		2.0		City	0	14	14	-1.45375503639545	-6.0	-1.4504690599482222	398	0.0	0.9987937520279926	0.9308892280882577	0.26563276132495833	1	0	0	0
1.0		2	Rural (fringe)	-7.0	-5.0			0.6666666666666666	0.038461538461538464	-1.8502994011976048	-3.197604790419162	1325.0829999999999	11.05	62.99	23.3	23.82	6.22	50484.0	30595.0	0.4847	13.09	28.98	0.87	12.19	8.25	14.19	0.0059880239520958105	0.011904761904761904	179.0	Yes	11.0		0.9779411764705882	2.0	0.5477941176470589	Rural	0	14	14	-1.4515671502472742	-6.0	-1.4482645146971886	396	0.0	0.9992744227864846	0.9313403047935404	0.22929161938725887	1	0	0	0
1.0	9208.0	1	City (midsize)	25.0	24.0	89.0	84.0	0.25	0.25	11.605263157894735	9.789473684210526																0.03333333333333333	0.016666666666666666	310.0	Yes	18.0		0.5351681957186545	3.0	0.45565749235474007	City	0	0	1	-1.9542425094393248	-6.0	-6.0	90	0.0	0.8888384449456919	0.0		1	0	0	0
		1	Suburb (large)	-14.0	-10.0	83.0	68.0	0.15761821366024514	0.159369527145359	-10.0	-14.0	3030.353	12.33	67.36	20.46	18.7	10.05	68193.0	25813.0	0.4192	10.16	16.42	0.96	31.12	14.78	12.38	0.0	0.0	1037.0	Yes	43.0		0.7798994974874371	16.0	0.17688442211055277	Suburb	0	0	1	-2.3180633349627615	-6.0	-6.0	208	0.0	0.8089083113300227	0.0	0.15484072238205832	1	0	0	0
1.0	2481.0	1	City (large)	7.0	8.0	29.0	29.0			8.0	7.0																0.0	0.0	291.0	Yes	-1.0		0.9034267912772586	11.0	0.8940809968847352	City	0	0	1	-2.2121876044039577	-6.0	-6.0	163	0.0	0.8321688305101614	0.0		1	0	0	0
		4	City (midsize)	6.0	4.0	50.0	50.0	0.15873015873015872	0.06349206349206349	4.0	6.0																0.0	0.0	54.0	No	3.0		0.8113207547169812	3.0	0.9622641509433962	City	0	0	3	-2.2112985672830483	-6.0	-6.0	488	0.0	0.8323641487846482	0.0		1	0	0	0
1.0	12821.0	4	City (large)	-19.0	-12.0	63.0	61.0			-8.916666666666666	-13.75																0.0	0.0	752.0	Yes	52.43		0.9913793103448276	2.0	0.7980295566502463	City	0	37	33	-2.2931950868183035	-6.0	-2.2434402973861562	6482	0.0	0.8143717764687057	0.7686376920856499		1	0	0	0
		3	City (large)	-35.0	-30.0	79.0	39.0	0.2461538461538461	0.04615384615384616	-25.606237816764132	-29.37719298245614	6698.865	11.42	51.93	20.0	20.2	9.45	51145.0	28459.0	0.525	17.4	31.42	0.75	37.79	20.96	18.57	0.009794319294809013	0.00684931506849315	345.0	Yes	14.68		0.9935622317596566	3.0	0.6201716738197425	City	0	6	2	-2.128722284338427	-6.0	-1.649983543645145	269	0.0	0.8505058626894332	0.8900661440894174	0.2723136660721574	1	0	0	0
